Notes,Year,Year Code,County,County Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,% of Total Deaths
,2015,2015,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,17,7463,Unreliable,132.697,364.715,0.001%
,2015,2015,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,47,8028,585.451,430.166,778.527,0.002%
,2015,2015,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,75,6594,1137.398,894.631,1425.739,0.003%
,2015,2015,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,113,4698,2405.279,1961.79,2848.767,0.004%
,2015,2015,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,129,2548,5062.794,4189.116,5936.473,0.005%
,2015,2015,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,85+ years,85+,113,675,16740.741,13654.061,19827.42,0.004%
,2015,2015,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,< 1 year,1,12,2262,Unreliable,274.117,926.684,0.000%
,2015,2015,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,15-24 years,15-24,15,23509,Unreliable,35.711,105.237,0.001%
,2015,2015,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,25-34 years,25-34,19,23089,Unreliable,49.545,128.506,0.001%
,2015,2015,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,38,25197,150.812,106.723,207.001,0.001%
,2015,2015,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,136,27733,490.391,407.971,572.81,0.005%
,2015,2015,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,246,28394,866.38,758.113,974.647,0.009%
,2015,2015,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,435,23605,1842.83,1669.65,2016.009,0.016%
,2015,2015,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,524,11452,4575.62,4183.842,4967.398,0.019%
,2015,2015,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,85+ years,85+,604,4005,15081.149,13878.408,16283.889,0.022%
,2015,2015,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,17,3578,Unreliable,276.78,760.724,0.001%
,2015,2015,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,48,3362,1427.722,1052.688,1892.945,0.002%
,2015,2015,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,59,2770,2129.964,1621.435,2747.504,0.002%
,2015,2015,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,75,1314,5707.763,4489.498,7154.737,0.003%
,2015,2015,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,85+ years,85+,76,462,16450.216,12960.961,20589.913,0.003%
,2015,2015,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,25-34 years,25-34,10,3268,Unreliable,146.738,562.742,0.000%
,2015,2015,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,11,3164,Unreliable,173.552,622.063,0.000%
,2015,2015,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,16,3379,Unreliable,270.655,768.956,0.001%
,2015,2015,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,30,2788,1076.04,726.004,1536.112,0.001%
,2015,2015,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,53,2024,2618.577,1961.498,3425.151,0.002%
,2015,2015,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,58,1024,5664.062,4300.949,7322.104,0.002%
,2015,2015,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,85+ years,85+,52,344,15116.279,11289.593,19823.035,0.002%
,2015,2015,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,25-34 years,25-34,10,6694,Unreliable,71.637,274.73,0.000%
,2015,2015,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,18,7329,Unreliable,145.557,388.153,0.001%
,2015,2015,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,40,8054,496.648,354.81,676.295,0.001%
,2015,2015,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,83,7474,1110.516,884.515,1376.652,0.003%
,2015,2015,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,130,6103,2130.1,1763.929,2496.271,0.005%
,2015,2015,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,188,3052,6159.895,5279.352,7040.438,0.007%
,2015,2015,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,85+ years,85+,121,955,12670.157,10412.565,14927.749,0.004%
,2015,2015,"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,15,1458,Unreliable,575.813,1696.862,0.001%
,2015,2015,"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,27,941,2869.288,1890.889,4174.671,0.001%
,2015,2015,"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,34,503,6759.443,4681.117,9445.646,0.001%
,2015,2015,"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O9,85+ years,85+,21,191,10994.764,6805.979,16806.707,0.001%
,2015,2015,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,15,2362,Unreliable,355.434,1047.428,0.001%
,2015,2015,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,15,2457,Unreliable,341.691,1006.929,0.001%
,2015,2015,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,33,2896,1139.503,784.377,1600.283,0.001%
,2015,2015,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,50,1986,2517.623,1868.63,3319.184,0.002%
,2015,2015,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,65,1158,5613.126,4332.098,7154.378,0.002%
