Notes,Year,Year Code,County,County Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,% of Total Deaths
,2010,2010,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,13,8243,Unreliable,83.974,269.688,0.001%
,2010,2010,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,33,8205,402.194,276.85,564.829,0.001%
,2010,2010,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,74,5860,1262.799,991.575,1585.33,0.003%
,2010,2010,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,89,4013,2217.792,1781.065,2729.193,0.004%
,2010,2010,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,103,1982,5196.771,4193.147,6200.395,0.004%
,2010,2010,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,85+ years,85+,96,551,17422.868,14112.523,21276.283,0.004%
,2010,2010,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,15-24 years,15-24,20,21049,95.016,58.039,146.745,0.001%
,2010,2010,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,25-34 years,25-34,25,20956,119.298,77.203,176.107,0.001%
,2010,2010,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,31,23553,131.618,89.428,186.821,0.001%
,2010,2010,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,125,26921,464.322,382.922,545.721,0.005%
,2010,2010,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,219,24535,892.602,774.382,1010.823,0.009%
,2010,2010,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,350,17803,1965.961,1759.994,2171.927,0.014%
,2010,2010,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,457,9532,4794.377,4354.805,5233.949,0.019%
,2010,2010,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,85+ years,85+,512,3233,15836.684,14464.901,17208.467,0.021%
,2010,2010,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,19,4018,Unreliable,284.702,738.446,0.001%
,2010,2010,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,34,3616,940.265,651.162,1313.927,0.001%
,2010,2010,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,61,2238,2725.648,2084.903,3501.204,0.002%
,2010,2010,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,72,1228,5863.192,4587.596,7383.694,0.003%
,2010,2010,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,85+ years,85+,71,443,16027.088,12517.316,20215.928,0.003%
,2010,2010,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,12,3382,Unreliable,183.339,619.799,0.000%
,2010,2010,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,17,3386,Unreliable,292.474,803.86,0.001%
,2010,2010,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,40,2735,1462.523,1044.841,1991.547,0.002%
,2010,2010,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,45,1723,2611.724,1905.017,3494.695,0.002%
,2010,2010,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,57,904,6305.31,4775.579,8169.285,0.002%
,2010,2010,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,85+ years,85+,39,279,13978.495,9940.108,19109.022,0.002%
,2010,2010,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,19,7925,Unreliable,144.345,374.395,0.001%
,2010,2010,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,33,8085,408.163,280.959,573.212,0.001%
,2010,2010,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,66,7276,907.092,701.545,1154.048,0.003%
,2010,2010,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,114,5079,2244.536,1832.505,2656.568,0.005%
,2010,2010,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,148,2552,5799.373,4865.03,6733.716,0.006%
,2010,2010,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,85+ years,85+,129,808,15965.347,13210.233,18720.46,0.005%
,2010,2010,"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,11,1697,Unreliable,323.583,1159.816,0.000%
,2010,2010,"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,28,1407,1990.05,1322.368,2876.179,0.001%
,2010,2010,"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,26,835,3113.772,2034.01,4562.393,0.001%
,2010,2010,"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,29,426,6807.512,4559.127,9776.744,0.001%
,2010,2010,"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O9,85+ years,85+,29,208,13942.308,9337.442,20023.524,0.001%
,2010,2010,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,20,2980,671.141,409.953,1036.523,0.001%
,2010,2010,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,35,2825,1238.938,862.97,1723.065,0.001%
,2010,2010,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,46,1829,2515.036,1841.333,3354.705,0.002%
,2010,2010,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,83,1148,7229.965,5758.595,8962.626,0.003%
,2010,2010,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O9,85+ years,85+,75,512,14648.438,11521.875,18361.963,0.003%
,2010,2010,"Calhoun County, AL",1015,All other non-drug and non-alcohol causes,O9,< 1 year,1,14,1377,Unreliable,555.842,1705.855,0.001%
,2010,2010,"Calhoun County, AL",1015,All other non-drug and non-alcohol causes,O9,15-24 years,15-24,13,17629,Unreliable,39.265,126.101,0.001%
,2010,2010,"Calhoun County, AL",1015,All other non-drug and non-alcohol causes,O9,25-34 years,25-34,26,14787,175.83,114.858,257.632,0.001%
,2010,2010,"Calhoun County, AL",1015,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,40,14627,273.467,195.367,372.385,0.002%
,2010,2010,"Calhoun County, AL",1015,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,109,16986,641.705,521.235,762.175,0.004%
,2010,2010,"Calhoun County, AL",1015,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,216,15109,1429.611,1238.957,1620.266,0.009%
