Notes,Year,Year Code,County,County Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,% of Total Deaths
,2016,2016,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,17,7377,Unreliable,134.244,368.967,0.001%
,2016,2016,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,42,7916,530.571,382.388,717.178,0.002%
,2016,2016,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,71,6851,1036.345,809.396,1307.204,0.003%
,2016,2016,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,106,4795,2210.636,1789.793,2631.479,0.004%
,2016,2016,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,143,2640,5416.667,4528.856,6304.477,0.005%
,2016,2016,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,85+ years,85+,112,727,15405.777,12552.587,18258.967,0.004%
,2016,2016,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,< 1 year,1,11,2289,Unreliable,239.895,859.855,0.000%
,2016,2016,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,15-24 years,15-24,21,23571,89.093,55.15,136.188,0.001%
,2016,2016,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,25-34 years,25-34,32,23795,134.482,91.986,189.848,0.001%
,2016,2016,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,45,25214,178.472,130.179,238.81,0.002%
,2016,2016,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,95,28212,336.736,272.44,411.643,0.003%
,2016,2016,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,243,29406,826.362,722.46,930.264,0.009%
,2016,2016,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,392,24883,1575.373,1419.419,1731.327,0.014%
,2016,2016,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,532,12105,4394.878,4021.416,4768.341,0.019%
,2016,2016,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,85+ years,85+,554,4116,13459.67,12338.85,14580.489,0.020%
,2016,2016,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,13,3442,Unreliable,201.103,645.857,0.000%
,2016,2016,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,40,3292,1215.067,868.056,1654.581,0.001%
,2016,2016,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,52,2828,1838.755,1373.274,2411.289,0.002%
,2016,2016,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,66,1387,4758.472,3680.202,6053.965,0.002%
,2016,2016,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,85+ years,85+,61,463,13174.946,10077.78,16923.745,0.002%
,2016,2016,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,19,3367,Unreliable,339.748,881.223,0.001%
,2016,2016,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,34,2811,1209.534,837.639,1690.203,0.001%
,2016,2016,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,67,2087,3210.35,2487.989,4077.016,0.002%
,2016,2016,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,50,1085,4608.295,3420.369,6075.484,0.002%
,2016,2016,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,85+ years,85+,41,322,12732.919,9137.398,17273.606,0.001%
,2016,2016,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,22,7178,306.492,192.076,464.032,0.001%
,2016,2016,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,43,8012,536.695,388.406,722.923,0.002%
,2016,2016,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,88,7550,1165.563,934.816,1436.008,0.003%
,2016,2016,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,160,6251,2559.59,2162.978,2956.203,0.006%
