Notes,Year,Year Code,County,County Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Gender,Gender Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,% of Total Deaths
,1999,1999,"Bernalillo County, NM",35001,Drug poisonings (overdose) Unintentional (X40-X44),D1,Female,F,12,282867,Unreliable,2.192,7.41,Unreliable,0.000%
,1999,1999,"Bernalillo County, NM",35001,Drug poisonings (overdose) Unintentional (X40-X44),D1,Male,M,83,270135,30.725,24.472,38.089,29.309,0.001%
,1999,1999,"Bernalillo County, NM",35001,Drug poisonings (overdose) Suicide (X60-X64),D2,Male,M,13,270135,Unreliable,2.562,8.229,Unreliable,0.000%
,1999,1999,"Bernalillo County, NM",35001,All other alcohol-induced causes,A9,Female,F,23,282867,8.131,5.154,12.201,8.147,0.000%
,1999,1999,"Bernalillo County, NM",35001,All other alcohol-induced causes,A9,Male,M,51,270135,18.879,14.057,24.823,20.214,0.001%
,1999,1999,"Bernalillo County, NM",35001,All other non-drug and non-alcohol causes,O9,Female,F,1979,282867,699.622,668.798,730.447,659.928,0.030%
,1999,1999,"Bernalillo County, NM",35001,All other non-drug and non-alcohol causes,O9,Male,M,1946,270135,720.381,688.373,752.388,938.057,0.030%
,1999,1999,"Catron County, NM",35003,All other non-drug and non-alcohol causes,O9,Female,F,17,1652,Unreliable,599.466,1647.621,Unreliable,0.000%
,1999,1999,"Catron County, NM",35003,All other non-drug and non-alcohol causes,O9,Male,M,15,1761,Unreliable,476.738,1404.898,Unreliable,0.000%
,1999,1999,"Chaves County, NM",35005,All other alcohol-induced causes,A9,Male,M,10,30584,Unreliable,15.679,60.131,Unreliable,0.000%
,1999,1999,"Chaves County, NM",35005,All other non-drug and non-alcohol causes,O9,Female,F,327,31468,1039.151,926.519,1151.783,806.583,0.005%
,1999,1999,"Chaves County, NM",35005,All other non-drug and non-alcohol causes,O9,Male,M,333,30584,1088.805,971.859,1205.75,1184.173,0.005%
