Notes,Year,Year Code,County,County Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,% of Total Deaths
,1999,1999,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,15,7518,Unreliable,111.67,329.08,0.001%
,1999,1999,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,23,5489,419.02,265.621,628.735,0.001%
,1999,1999,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,54,4068,1327.434,997.208,1732.009,0.002%
,1999,1999,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,73,2609,2798.007,2193.19,3518.074,0.003%
,1999,1999,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,97,1337,7255.049,5883.337,8850.579,0.004%
,1999,1999,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,85+ years,85+,86,418,20574.163,16456.656,25408.885,0.004%
,1999,1999,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,< 1 year,1,20,1674,1194.743,729.785,1845.185,0.001%
,1999,1999,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,15-24 years,15-24,20,16342,122.384,74.756,189.012,0.001%
,1999,1999,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,25-34 years,25-34,21,16962,123.806,76.638,189.251,0.001%
,1999,1999,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,41,21505,190.653,136.817,258.642,0.002%
,1999,1999,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,66,18848,350.17,270.821,445.504,0.003%
